Flow.ID,Source.IP,Source.Port,Destination.IP,Destination.Port,Protocol,Timestamp,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Fwd.Packet.Length.Max,Fwd.Packet.Length.Min,Fwd.Packet.Length.Mean,Fwd.Packet.Length.Std,Bwd.Packet.Length.Max,Bwd.Packet.Length.Min,Bwd.Packet.Length.Mean,Bwd.Packet.Length.Std,Flow.Bytes.s,Flow.Packets.s,Flow.IAT.Mean,Flow.IAT.Std,Flow.IAT.Max,Flow.IAT.Min,Fwd.IAT.Total,Fwd.IAT.Mean,Fwd.IAT.Std,Fwd.IAT.Max,Fwd.IAT.Min,Bwd.IAT.Total,Bwd.IAT.Mean,Bwd.IAT.Std,Bwd.IAT.Max,Bwd.IAT.Min,Fwd.PSH.Flags,Bwd.PSH.Flags,Fwd.URG.Flags,Bwd.URG.Flags,Fwd.Header.Length,Bwd.Header.Length,Fwd.Packets.s,Bwd.Packets.s,Min.Packet.Length,Max.Packet.Length,Packet.Length.Mean,Packet.Length.Std,Packet.Length.Variance,FIN.Flag.Count,SYN.Flag.Count,RST.Flag.Count,PSH.Flag.Count,ACK.Flag.Count,URG.Flag.Count,CWE.Flag.Count,ECE.Flag.Count,Down.Up.Ratio,Average.Packet.Size,Avg.Fwd.Segment.Size,Avg.Bwd.Segment.Size,Fwd.Header.Length.1,Fwd.Avg.Bytes.Bulk,Fwd.Avg.Packets.Bulk,Fwd.Avg.Bulk.Rate,Bwd.Avg.Bytes.Bulk,Bwd.Avg.Packets.Bulk,Bwd.Avg.Bulk.Rate,Subflow.Fwd.Packets,Subflow.Fwd.Bytes,Subflow.Bwd.Packets,Subflow.Bwd.Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active.Mean,Active.Std,Active.Max,Active.Min,Idle.Mean,Idle.Std,Idle.Max,Idle.Min,Label,L7Protocol,ProtocolName
10.200.7.195-104.91.156.236-37465-80-6,10.200.7.195,37465,104.91.156.236,80,6,26/04/201711:11:18,41700,3,3,169,0,169,0,56.3333333333333,97.5721954930468,0,0,0,0,4052.75779376499,143.884892086331,8340,18299.6076870517,41075,31,367,183.5,215.667568261897,336,31,41510,20755,28736.8195874213,41075,435,0,0,0,0,104,104,71.9424460431655,71.9424460431655,0,169,24.1428571428571,63.8759959385594,4080.14285714286,0,0,0,1,0,0,0,0,1,28.1666666666667,56.3333333333333,0,104,0,0,0,0,0,0,3,169,3,0,14600,804,1,32,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
157.240.0.22-10.200.7.217-443-53809-6,10.200.7.217,53809,157.240.0.22,443,6,26/04/201711:11:18,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2e+06,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,64,0,2e+06,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,457,-1,0,32,0,0,0,0,0,0,0,0,BENIGN,119,FACEBOOK
213.239.207.69-10.200.7.196-80-35706-6,10.200.7.196,35706,213.239.207.69,80,6,26/04/201711:11:17,661481,8,6,293,2933,292,0,36.625,103.18767575913,1436,0,488.833333333333,690.821660536688,4876.93524077033,21.1646290671992,50883.1538461538,122237.670449038,410682,55,661481,94497.2857142857,158487.945671707,410919,128,618071,123614.2,183555.517193573,410682,343,0,0,0,0,264,200,12.0940737526853,9.07055531451395,0,1436,215.066666666667,478.940865223414,229384.352380952,0,0,0,1,0,0,0,0,0,230.428571428571,36.625,488.833333333333,264,0,0,0,0,0,0,8,293,6,2933,14600,804,2,32,0,0,0,0,0,0,0,0,BENIGN,40,CONTENT_FLASH
179.1.4.223-10.200.7.195-80-36951-6,10.200.7.195,36951,179.1.4.223,80,6,26/04/201711:11:18,40659,3,3,171,0,171,0,57,98.726896031426,0,0,0,0,4205.71091271305,147.568803954844,8131.8,17673.0267554825,39746,119,636,318,11.3137084989848,326,310,40452,20226,27605.4487375228,39746,706,0,0,0,0,104,104,73.784401977422,73.784401977422,0,171,24.4285714285714,64.6319248845779,4177.28571428571,0,0,0,1,0,0,0,0,1,28.5,57,0,104,0,0,0,0,0,0,3,171,3,0,14600,804,1,32,0,0,0,0,0,0,0,0,BENIGN,126,GOOGLE
192.168.10.47-10.200.7.6-51850-3128-6,192.168.10.47,51850,10.200.7.6,3128,6,26/04/201711:11:18,11779,3,12,232,3664,226,0,77.3333333333333,128.784056984292,3628,0,305.333333333333,1046.37289836092,330758.128873419,1273.45275490279,841.357142857143,1834.20503036236,6247,0,9910,4955,2104.34978081117,6443,3467,11681,1061.90909090909,2941.61419817574,9816,0,0,0,0,0,72,300,254.690550980559,1018.76220392223,0,3628,243.5,904.250555248194,817669.066666667,0,0,0,1,0,0,0,0,4,259.733333333333,77.3333333333333,305.333333333333,72,0,0,0,0,0,0,3,232,12,3664,8192,245,2,20,0,0,0,0,0,0,0,0,BENIGN,130,HTTP_CONNECT
192.168.10.47-10.200.7.6-51850-3128-6,10.200.7.6,3128,192.168.10.47,51850,6,26/04/201711:11:18,16,4,0,4386,0,1460,6,1096.5,727,0,0,0,0,274125000,250000,5.33333333333333,8.38649708360608,15,0,16,5.33333333333333,8.38649708360608,15,0,0,0,0,0,0,0,0,0,0,80,0,250000,0,6,1460,1169.2,650.248567856939,422823.2,0,0,0,0,1,0,0,0,0,1461.5,1096.5,0,80,0,0,0,0,0,0,4,4386,0,0,245,-1,3,20,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
192.168.10.47-10.200.7.6-51850-3128-6,10.200.7.6,3128,192.168.10.47,51850,6,26/04/201711:11:18,124,4,0,2932,0,1460,6,733,839.467291401716,0,0,0,0,23645161.2903226,32258.064516129,41.3333333333333,60.6822324353128,111,0,124,41.3333333333333,60.6822324353128,111,0,0,0,0,0,0,0,0,0,0,80,0,32258.064516129,0,6,1460,587.6,796.388598612512,634234.8,0,0,0,0,1,1,0,0,0,734.5,733,0,80,0,0,0,0,0,0,4,2932,0,0,245,-1,3,20,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
192.168.10.17-10.200.7.7-53320-3128-6,10.200.7.7,3128,192.168.10.17,53320,6,26/04/201711:11:17,1128230,43,19,19232,1960,4277,6,447.255813953488,1080.24649067708,528,6,103.157894736842,164.712632976309,18783.404093137,54.953333983319,18495.5737704918,116518.55795072,901577,0,226653,5396.5,23031.4648637097,144652,0,1124766,62487,221416.944199107,939045,0,0,0,0,0,860,380,38.1127961497212,16.8405378335978,6,4277,359.555555555555,918.363459880915,843391.444444445,0,0,0,0,1,0,0,0,0,365.354838709677,447.255813953488,103.157894736842,860,0,0,0,0,0,0,43,19232,19,1960,524,4311,42,20,0,0,0,0,0,0,0,0,BENIGN,131,HTTP_PROXY
216.58.212.195-10.200.7.217-443-38493-6,216.58.212.195,443,10.200.7.217,38493,6,26/04/201711:11:17,1129776,22,29,9232,1930,2859,0,419.636363636364,887.119229945179,528,0,66.551724137931,141.662220542613,9879.83458667913,45.1416918043931,22595.52,113707.757130293,783980,0,345796,16466.4761904762,49348.8637413457,169769,0,1128863,40316.5357142857,177810.65796546,936988,0,0,0,0,0,728,952,19.4728866607186,25.6688051436745,0,2859,214.653846153846,605.450112405942,366569.838612368,0,0,0,0,1,0,0,0,1,218.862745098039,419.636363636364,66.551724137931,728,0,0,0,0,0,0,22,9232,29,1930,340,905,13,32,0,0,0,0,0,0,0,0,BENIGN,126,GOOGLE
192.168.10.17-10.200.7.7-53320-3128-6,10.200.7.7,3128,192.168.10.17,53320,6,26/04/201711:11:18,228,2,0,12,0,6,6,6,0,0,0,0,0,52631.5789473684,8771.9298245614,228,0,228,228,228,228,0,228,228,0,0,0,0,0,0,0,0,0,40,0,8771.9298245614,0,6,6,6,0,0,0,0,0,0,1,1,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,591,-1,1,20,0,0,0,0,0,0,0,0,BENIGN,131,HTTP_PROXY
